Infraccio_Codi Infraccio_Desc_Curta_CA Infraccio_Desc_Curta_ES Infraccio_Desc_Llarga_CA Infraccio_Desc_Llarga_ES Normativa Import_Nominal_€ Tipus_Infraccio Punts_A_Retirar 
1028 PARAR_LLOC_PROHIBIT_SENYAL_CORRESPONENT PARAR_LUGAR_PROHIBIDO_SENAL_CORRESPOND Parar_en_llocs_on_ho_prohibeix_la_senyalitzacio_corresponent - OCVV 60 E 0 
1029 ESTACIONAR_EN_CARRIL_BICICLETES ESTACIONAR_EN_CARRIL_BICICLETAS Estacionar_en_un_carril_bicicleta Estacionar_en_un_carril_bicicleta LSV 200 E 0 
1030 FORCAR_MARXES/ACCELERACIONS_BRUSQUES FORZAR_MARCHAS/ACELERACIONES_BRUSCAS Forcar_marxes_o_acceleracions_brusques. - OCVV 90 M 0 
1031 ESTAC_BATERIA_ZONA_DESTIN_CORDO_O_VICEV ESTAC_BATERIA_ZONA_DESTIN_CORDON_O_VICEV Estacionar_en_bateria_en_una_zona_destinada_a_cordo_o_viceversa. - OCVV 60 E 0 
1032 ESTAC_VEHI_SENSE_MESURES_EVITAR_MOVIMEN ESTAC_VEHI_SIN_MEDIDAS_EVITAR_MOVIMIENTO Estacionar_un_vehicle_sense_prendre_les_mesures_reglamentaries_que_n'evitin_la_posada_en_moviment. - OCVV 60 E 0 
1033 ESTACION_REMOLC_SEPARAT_VEHICLE_TRACTOR ESTACION_REMOLQUE_SEPARADO_VEHIC_MOTOR Estacionar_un_remolc_separat_del_vehicle_motor - OCVV 60 E 0 
1034 ESTACIONAMENT_PROHIBIT_SENYAL_CORRESPON ESTACIONAMIENTO_PROHIBIDO_SENAL_CORRESP Estacionar_alla_on_ho_prohibeix_el_senyal_corresponent - OCVV 60 E 0 
1035 ESTAC_TUNEL/CORBA/CANVI_RASANT_VISIB_RED ESTAC_TUNEL/CURVA/CAMBIO_RASAN_VISIB_RED Estacionar_en_un_revolt_o_un_canvi_de_rasant_amb_visibilitat_reduida_o_tunel. - OCVV 200 E 0 
1036 ESTACIONAR_EN_PAS_DE_CICLISTES ESTACIONAR_EN_PASO_DE_CICLISTAS Estacionar_en_passos_per_a_ciclistes. Estacionar_en_pasos_para_ciclistas LSV 200 E 0 
1037 ESTACIONAR_EN_PAS_PER_A_VIANANTS ESTACIONAR_EN_PASO_PARA_PEATONES Estacionar_en_passos_de_vianants. - OCVV 90 E 0 
1038 ESTACION_EN_ZONA_VIANANTS_-ILLA_PEATONAL ESTACION_EN_ZONA_PEATONES_-ISLA_PEATONAL Estacionar_en_una_zona_per_a_vianants_""""arees_de_vianants"""". - OCVV 90 E 0 
1039 ESTACIONAR_EN_CARRIL_BUS ESTACIONAR_EN_CARRIL_BUS Estacionar_en_un_carril_BUS. - OCVV 200 E 0 
1040 ESTACIONAR_EN_PARADA_TRANSPORT_PUBLIC ESTACIONAR_EN_PARADA_TRANSPORTE_PUBLICO Estacionar_en_parades_de_transport_public. - OCVV 200 E 0 
1041 ESTACIONAR_A_LES_ZONES_RESERVADES ESTACIONAR_EN_ZONAS_RESERVADAS Estacionar_en__una_zona_reservada - OCVV 90 E 0 
1042 ESTACIONAR_EN_CRUILLA_O_INTERSECCIO ESTACIONAR_EN_CRUCE_O_INTERSECCION Estacionar_en_cruilles_o_interseccions. - OCVV 90 E 0 
1043 ESTAC_LLOC_IMPEDINT_VISIB_TRANSIT/SENYAL ESTAC_LUGAR_IMPIDIEN_VISIB_TRAFICO/SENAL Estacionar_en_llocs_on_s'impedeixi_la_visibilitat_del_transit_o_dels_senyals_o_s'obligui_els_usuaris_a_fer_maniobres - OCVV 200 E 0 
1045 ESTACION_SOBRESORTINT_VERTEX_DEL_XAMFRA ESTAC_SOBRESALIENDO_VERT_CHAFLAN/ESQUINA Estacionar_sobrepassant_el_vertex_del_xamfra_o_la_cantonada_obstaculitzant_la_circulacio. - OCVV 90 E 0 
1046 ESTAC_DOBLE_FILA_VEHIC/CONTEN/ELEM_PROT ESTAC_DOBLE_FILA_VEHIC/CONTEN/ELEM_PROT Estacionar_en_doble_fila - OCVV 90 E 0 
1047 ESTACIONAR_EN_PLENA_CALCADA ESTACIONAR_EN_PLENA_CALZADA Estacionar_en_plena_calcada. - OCVV 90 E 0 
1048 ESTACION_CALCADA_D_UN_CARRIL_CADA_SENTIT ESTAC_CALZADA_CON_UN_CARRIL_CADA_SENTIDO Estacionar_en_una_calcada_amb_capacitat_per_a_un_sol_carril. - OCVV 90 E 0 
1049 ESTAC_DIST_INFER_5_M_ALINEACIO_VORADA_CARRER_TRANSVERSAL ESTAC_DIST_INFER_5_M_ALINEACIO_BORDILLO_CALLE_TRANSVERSAL Estacionar_a_menys_de_5_m_de_l'alineacio_de_la_vorada_dels_carrers_transversals,_fet_que_dificulta_la_maniobra_de_gir - OCVV 60 E 0 
